,editing_1_38,editing_1_39,editing_1_40,editing_1_41,editing_1_42
147,1,1,1,1,0
148,1,1,1,1,1
149,0,0,1,1,0
150,0,1,1,1,1
151,0,0,1,1,1
152,1,1,1,1,1
153,1,1,1,1,0
154,1,1,1,1,1
155,1,1,1,1,1
156,1,1,1,1,0
157,1,1,1,1,1
158,0,0,0,0,0
159,1,0,1,1,0
160,0,1,0,1,0
161,1,1,0,1,1
162,1,1,1,1,0
163,1,0,1,1,1
164,0,0,0,1,0
165,0,1,1,0,0
166,1,1,1,1,0
167,0,1,1,1,1
168,0,1,1,1,0
169,1,1,1,1,1
170,1,1,1,1,1
171,1,1,1,1,1
172,1,0,1,1,0
173,1,1,1,1,0
174,1,1,1,1,1
175,1,1,1,1,1
176,1,1,1,1,1
177,1,1,1,1,1
178,1,1,1,1,1
179,1,1,1,1,1
180,1,1,1,1,0
181,1,1,1,1,0
182,1,1,1,1,1
183,1,1,1,1,1
184,1,1,1,1,1
185,1,1,1,1,1
186,1,1,1,1,1
187,0,1,1,1,1
188,0,1,1,1,1
189,1,1,1,1,1
190,1,1,1,1,0
191,0,1,1,1,1
192,1,1,1,1,0
193,1,1,1,1,0
194,1,1,1,1,1
195,1,1,1,1,0
196,0,0,1,1,1
197,1,1,1,1,0
198,1,1,1,1,1
199,0,1,1,1,0
200,1,1,1,1,0
201,0,1,1,1,1
202,0,0,1,1,1
203,1,1,1,0,0
204,1,1,1,1,1
205,1,1,1,1,1
206,0,1,1,1,1
207,1,1,1,1,1
208,0,1,1,1,1
209,1,1,1,1,1
210,1,1,1,1,1
211,1,1,1,1,1
212,1,1,1,1,1
213,1,1,1,1,1
214,1,1,1,1,1
215,1,1,1,1,1
216,1,1,1,1,1
217,1,1,1,1,0
218,1,1,1,1,0
219,1,0,1,1,0
220,1,1,1,1,0
221,0,1,1,1,1
222,1,1,1,1,1
223,1,1,1,1,0
224,1,1,1,1,1
225,1,1,1,1,1
226,1,1,1,1,1
227,1,0,1,1,0
228,0,1,1,1,1
229,1,1,1,1,1
230,1,1,1,1,1
231,1,1,1,1,1
232,0,1,1,1,1
233,1,1,0,1,1
234,1,1,1,1,1
235,1,1,1,1,1
236,1,1,1,1,0
237,1,1,1,1,1
238,1,1,1,1,0
239,1,1,1,1,1
240,0,0,1,0,0
241,1,1,1,1,0
242,1,1,1,1,1
243,1,1,1,1,0
244,1,1,1,0,1
245,1,1,1,1,0
246,0,1,1,1,1
247,1,0,1,1,0
248,0,0,0,0,1
249,1,1,1,1,1
250,0,1,1,1,1
251,1,1,1,1,1
252,1,1,1,1,0
253,1,1,1,1,1
254,1,1,1,1,1
255,1,1,1,1,1
256,1,0,1,1,1
257,0,1,1,1,1
258,1,1,1,1,0
259,0,0,1,1,1
260,0,0,0,1,1
261,1,0,1,0,0
262,1,1,1,1,0
263,1,1,1,1,1
264,1,1,0,1,1
265,1,1,1,0,1
266,1,1,1,0,1
267,0,0,1,1,1
268,1,1,1,1,1
269,1,1,1,1,1
270,0,1,1,1,0
271,1,1,1,1,1
272,1,1,1,1,1
273,1,1,1,1,0
274,1,1,1,1,1
275,1,1,1,1,1
276,1,1,1,1,0
277,0,0,1,1,0
278,0,1,1,1,0
279,1,1,1,1,0
280,0,0,0,0,0
281,1,1,1,1,0
282,1,0,0,1,0
283,0,0,1,1,0
284,0,0,0,0,0
285,1,1,1,1,1
286,0,1,1,1,0
287,1,0,1,1,1
288,1,1,1,1,1
289,1,1,1,1,0
290,1,1,1,1,1
291,1,0,1,1,0
292,1,1,1,1,0
293,1,1,1,1,1
294,0,0,1,0,0
295,1,1,1,1,0
296,1,0,0,1,1
297,1,1,1,1,1
298,1,1,0,1,1
299,1,1,1,1,1
300,0,0,0,1,1
301,1,1,0,1,0
302,1,1,1,1,1
303,1,0,1,1,1
304,0,1,1,1,1
305,1,1,1,1,1
306,0,0,0,0,0
307,0,0,0,0,0
308,1,1,1,1,0
309,1,1,1,1,0
310,1,1,1,1,1
311,1,1,1,1,1
312,1,1,1,1,1
313,1,1,1,1,1
314,0,1,1,1,1
315,1,1,1,1,1
316,1,1,1,1,1
317,1,1,1,1,1
318,1,1,1,0,0
319,1,1,1,1,0
320,0,0,1,1,0
321,1,1,1,1,1
322,1,1,1,1,0
323,1,1,1,1,0
324,1,0,0,0,1
325,1,0,1,1,0
326,1,1,0,1,1
327,1,1,0,1,0
328,0,0,0,1,0
329,1,1,1,1,0
330,1,1,1,1,1
331,1,1,1,1,1
332,0,1,1,1,1
333,1,1,1,1,0
334,1,1,1,1,0
335,1,1,1,1,1
336,0,1,1,1,0
337,1,1,1,1,0
338,1,1,1,1,1
339,0,1,1,1,0
340,0,0,1,1,0
341,1,0,1,1,1
342,1,0,1,1,0
343,1,1,1,1,1
344,0,0,1,1,1
345,1,1,1,1,0
346,0,0,1,1,0
347,1,1,1,1,1
348,1,0,1,1,0
349,1,1,1,1,1
350,1,0,1,1,0
351,1,1,1,1,0
352,1,1,1,1,1
353,1,1,1,1,1
354,1,0,1,1,1
355,0,0,1,1,1
356,1,1,1,1,0
357,1,1,1,1,1
358,1,1,1,1,1
359,1,1,1,1,0
360,1,0,1,1,0
361,0,0,0,0,0
362,0,1,1,0,0
363,0,0,1,1,0
364,0,1,0,1,0
365,0,1,1,1,0
366,0,0,0,1,1
367,1,1,1,1,1
368,1,1,1,1,1
369,0,0,0,0,0
370,1,1,1,1,0
371,1,1,1,1,0
372,1,1,1,0,0
373,0,0,1,0,0
374,0,0,1,1,0
375,0,0,1,1,1
376,1,1,0,1,0
377,0,0,0,0,0
378,0,0,1,1,0
379,0,0,1,1,1
380,1,1,1,1,1
381,1,1,1,1,0
382,1,0,1,1,0
383,0,1,1,1,0
384,1,1,0,1,0
385,1,1,1,1,0
386,1,1,1,1,1
387,1,1,1,1,1
388,1,1,1,1,1
389,1,1,1,1,0
390,1,1,1,1,1
391,1,1,1,1,1
392,0,0,1,1,1
393,1,1,1,1,1
394,1,1,1,1,1
395,0,0,0,0,0
396,0,1,1,1,1
397,1,1,1,1,1
398,1,1,1,1,1
399,1,1,1,1,1
400,0,0,0,1,1
401,1,1,1,1,1
402,1,1,1,1,1
403,0,0,0,1,1
404,1,1,0,0,1
405,1,1,1,1,1
406,1,1,1,1,0
407,0,0,1,1,1
408,1,1,1,1,0
409,1,1,1,1,0
410,1,1,1,1,1
411,1,1,1,0,1
412,1,0,1,1,0
413,1,1,1,1,1
414,1,1,1,1,1
415,0,0,1,0,0
416,1,1,1,1,1
417,1,1,1,1,0
418,0,0,1,1,1
419,1,1,1,1,1
420,0,0,1,1,1
421,1,0,0,0,0
422,1,1,1,1,1
423,1,1,1,0,1
424,1,1,1,1,0
425,0,0,0,0,0
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,1,1,1
429,1,1,0,1,0
430,0,0,0,1,0
431,0,0,1,1,1
432,1,1,1,1,1
433,1,0,1,1,0
434,1,1,1,1,0
435,1,1,1,1,1
436,0,0,0,1,0
437,1,1,1,1,1
438,0,0,1,1,0
439,1,1,1,1,0
440,1,1,1,1,0
441,0,0,0,1,0
442,0,0,1,0,1
443,0,0,1,1,1
444,1,0,0,1,1
445,0,1,1,0,0
446,0,0,1,1,0
447,0,1,1,0,0
448,0,1,0,1,0
449,0,0,1,1,0
450,0,1,0,1,0
451,0,0,0,1,0
452,0,1,1,1,1
453,1,1,1,1,0
454,1,1,1,1,1
455,0,1,0,1,0
456,1,1,1,0,0
457,0,1,1,1,1
458,1,1,1,1,1
459,0,0,0,0,0
460,0,0,1,1,0
461,0,0,0,1,0
462,1,1,1,1,0
463,1,1,1,1,1
464,1,1,1,1,0
465,0,1,1,1,1
466,1,1,1,1,0
467,0,0,0,0,0
468,1,0,1,1,1
469,0,1,1,1,1
470,0,1,1,1,1
471,1,1,1,1,1
472,1,1,1,1,1
473,1,1,1,1,0
474,1,0,1,1,0
475,1,1,1,1,1
476,1,1,1,1,0
477,1,1,1,1,1
478,1,1,1,0,1
479,1,1,1,1,0
480,0,1,1,1,0
481,1,1,0,1,1
482,1,1,1,1,0
483,0,0,1,1,0
484,0,1,0,1,1
485,0,1,1,1,0
486,1,1,1,1,0
487,1,1,1,1,0
488,0,1,1,1,1
489,0,0,0,1,0
490,0,0,0,1,0
491,0,0,0,1,0
492,0,1,0,1,0
493,1,0,1,0,0
494,0,1,1,1,0
495,0,0,0,1,0
496,1,0,1,1,0
497,1,0,1,0,0
498,0,0,0,0,0
499,0,0,1,0,0
500,0,0,1,1,0
501,1,1,1,1,0
502,0,0,0,1,0
503,0,0,0,1,0
504,0,0,1,1,0
505,1,1,1,0,1
506,1,0,1,1,0
507,1,0,0,1,0
508,0,0,1,1,0
509,0,1,0,1,0
510,1,1,1,1,1
511,0,0,1,1,0
512,1,1,1,1,1
513,1,1,1,1,1
514,1,1,1,0,0
515,1,1,1,1,1
516,0,1,0,0,0
517,0,1,1,0,1
518,1,0,0,0,0
519,0,0,1,1,0
520,1,0,0,1,1
521,1,1,1,1,0
522,0,0,1,1,0
523,1,1,1,1,0
524,1,1,1,1,0
525,1,1,1,1,1
526,1,1,1,1,0
527,1,1,1,1,1
528,1,1,1,1,1
529,0,0,0,1,0
530,0,0,1,1,0
531,1,1,1,1,0
532,1,1,1,1,1
533,1,0,1,0,0
534,1,1,1,1,1
535,1,1,1,1,0
536,0,0,0,1,0
537,0,0,0,1,0
538,1,1,0,1,0
539,0,0,1,0,0
540,0,0,0,1,0
541,0,0,0,0,0
542,1,1,1,1,0
543,1,1,1,1,0
544,0,0,0,0,0
545,0,0,0,1,1
546,0,0,0,1,0
547,1,0,0,1,0
548,1,1,1,1,0
549,0,1,0,1,0
550,0,0,1,0,0
551,0,0,1,0,0
552,1,0,1,0,0
553,0,0,0,0,0
554,0,1,1,1,0
555,0,0,1,1,0
556,0,0,1,0,0
557,1,1,1,0,0
558,0,0,1,1,1
559,0,0,1,1,0
560,1,1,1,1,0
561,0,0,1,1,0
562,0,0,0,1,0
563,0,0,0,0,0
564,0,0,1,1,0
565,1,1,1,1,1
566,0,0,1,1,0
567,0,0,0,1,0
568,1,1,1,1,1
569,0,0,0,1,0
570,1,1,1,1,1
571,0,1,1,1,1
572,1,1,1,1,1
573,1,1,1,1,0
574,1,0,1,1,0
575,1,0,1,0,0
576,1,1,0,1,0
577,1,1,0,1,0
578,1,1,1,1,0
579,1,0,1,0,1
580,0,0,1,1,0
581,1,1,1,1,1
582,1,1,1,1,0
583,0,0,0,1,0
584,0,0,0,1,0
585,1,0,1,1,0
586,0,1,1,1,1
587,1,0,1,1,1
588,0,1,0,1,1
589,0,0,0,0,0
590,1,1,0,1,1
591,1,1,1,1,1
592,1,1,1,1,0
593,1,1,1,1,1
594,1,1,0,1,0
595,1,0,1,1,1
596,0,1,0,1,1
597,1,0,0,1,0
598,1,1,1,1,0
599,0,0,1,1,1
600,1,1,1,1,1
601,0,0,0,0,0
602,1,1,1,1,0
603,0,0,1,1,0
604,1,0,1,1,0
605,1,1,1,1,1
606,1,1,1,1,0
607,1,1,1,1,0
608,1,1,1,1,1
609,1,1,1,1,1
610,1,1,1,1,1
611,1,1,1,1,0
612,1,1,1,1,0
613,1,1,1,1,1
614,0,1,1,1,0
615,1,1,1,1,0
616,1,1,1,1,0
617,1,0,1,1,0
618,0,1,1,1,0
619,0,1,1,1,1
620,1,1,1,0,0
621,0,1,1,1,0
622,1,1,1,1,0
623,1,1,1,1,0
624,1,1,1,1,0
625,0,0,1,1,1
626,0,1,1,0,1
627,0,1,1,0,0
628,1,1,1,1,1
629,1,1,1,1,0
630,1,1,1,1,1
631,1,1,1,1,1
632,1,1,1,1,0
633,1,1,1,1,1
634,1,1,0,1,0
635,0,0,1,1,0
636,1,1,1,1,0
637,1,1,1,1,0
638,0,1,1,1,0
639,1,0,1,1,0
640,1,1,1,0,1
641,1,1,1,1,0
642,1,1,1,1,1
643,1,1,0,1,1
644,1,1,1,1,0
645,0,1,1,0,1
646,0,1,1,1,1
647,1,1,1,0,1
648,0,0,0,0,0
649,1,1,1,1,1
650,1,1,1,1,0
651,1,1,1,1,0
652,0,0,1,1,1
653,0,0,1,1,0
654,1,0,1,1,1
655,1,1,1,1,0
656,1,1,1,1,1
657,1,1,1,1,1
658,0,1,1,1,1
659,1,1,1,1,0
660,1,1,1,1,0
661,1,1,1,1,1
662,0,1,1,1,1
663,1,1,1,1,1
664,1,1,1,1,0
665,0,0,1,1,0
666,1,1,1,1,1
667,0,1,1,1,1
668,0,1,1,1,0
669,0,1,1,1,1
670,1,1,1,1,1
671,1,1,1,1,0
672,1,1,1,1,1
673,1,1,1,0,1
674,1,1,1,1,1
675,1,1,1,1,0
676,1,1,1,1,0
677,1,1,1,1,0
678,1,1,1,0,0
679,1,1,0,1,1
680,1,1,1,1,0
681,1,1,1,1,1
682,1,1,1,1,1
683,1,1,1,1,1
684,1,1,1,1,1
685,1,1,1,1,1
686,1,1,1,1,0
687,1,1,1,1,1
688,1,1,1,1,0
689,1,1,1,1,1
690,0,1,1,1,0
691,1,1,1,1,1
692,1,1,1,1,1
693,1,1,1,1,1
694,0,1,1,1,0
695,1,1,1,1,1
696,1,1,1,0,1
697,1,1,1,1,1
698,1,1,1,0,1
699,1,1,1,1,1
700,1,1,1,1,1
701,1,1,1,1,1
702,1,1,1,1,0
703,1,1,1,1,1
704,1,1,1,1,1
705,1,1,1,1,1
706,1,1,1,1,1
707,1,1,1,0,0
708,1,1,1,1,1
709,1,1,1,1,1
710,1,1,1,1,1
711,1,1,0,0,1
712,1,1,1,1,1
713,1,1,1,1,1
714,0,1,1,1,1
715,1,1,1,1,0
716,1,1,1,1,0
717,1,1,1,1,1
718,1,1,1,1,1
719,1,1,1,1,0
720,0,1,0,0,0
721,1,1,1,1,1
722,1,1,1,1,1
723,1,1,1,1,1
724,1,1,1,1,1
725,1,1,1,0,1
726,0,1,1,1,0
727,1,1,1,1,0
728,0,1,1,1,1
729,1,1,1,1,0
730,1,0,1,1,1
731,0,1,0,0,1
732,1,1,1,1,1
733,0,1,0,1,1
734,1,1,1,1,1
735,1,1,1,1,0
736,0,0,1,1,1
737,0,1,1,1,1
738,0,1,1,1,1
739,1,1,1,1,1
740,1,1,1,1,0
741,1,0,1,1,1
742,1,1,1,1,1
743,1,1,1,1,1
744,1,0,1,1,1
745,1,1,1,1,1
746,1,1,1,1,0
747,1,1,1,0,1
748,1,1,1,1,0
749,1,1,1,1,1
750,1,1,1,1,1
751,0,1,1,1,0
752,1,1,1,1,1
753,1,1,1,1,1
754,1,0,1,1,0
755,1,1,1,1,1
756,0,1,1,0,1
757,1,1,0,1,1
758,1,1,1,1,1
759,1,1,1,1,1
760,1,1,1,1,1
761,1,1,1,1,1
762,1,1,1,1,0
763,1,1,1,1,1
764,0,1,1,1,1
765,1,1,1,1,0
766,1,0,1,1,1
767,1,1,1,1,1
768,1,1,1,1,1
769,1,1,1,1,1
770,1,0,1,1,1
771,0,1,0,1,1
772,1,1,1,1,1
773,1,1,1,1,1
774,1,1,1,1,1
775,1,0,0,1,1
776,1,1,1,1,1
777,1,1,1,1,1
778,0,1,1,1,1
779,1,1,1,1,1
780,1,1,1,1,0
781,0,0,1,1,0
782,1,1,1,1,1
783,1,1,1,1,0
784,1,1,1,1,1
785,1,1,1,1,1
786,1,1,1,1,1
787,1,1,1,1,0
788,1,1,1,1,1
789,1,1,1,1,1
790,1,1,1,1,1
791,0,0,0,1,0
792,1,1,1,0,1
793,0,1,1,1,1
794,1,1,1,1,1
795,1,1,1,1,1
796,1,1,1,1,1
797,1,1,1,1,1
798,0,1,1,1,0
799,1,1,1,0,0
800,1,1,1,1,1
801,0,1,1,1,0
802,0,1,1,1,0
803,1,1,1,1,1
804,1,1,1,1,0
805,0,0,0,1,0
806,0,0,0,0,0
807,1,1,1,1,0
808,0,0,1,1,0
809,0,1,0,1,1
810,1,1,1,1,1
811,0,0,0,0,0
812,1,1,1,0,0
813,0,0,1,1,0
814,0,1,1,1,0
815,1,1,0,1,0
816,1,0,0,1,1
817,0,0,0,1,0
818,0,0,0,1,0
819,1,1,1,1,1
820,1,1,1,1,1
821,1,1,1,1,0
822,0,0,1,1,0
823,1,1,1,0,0
824,1,1,1,1,0
825,1,1,1,1,1
826,1,1,1,1,1
827,0,1,1,1,1
828,1,1,1,1,1
829,0,0,1,1,0
830,1,0,1,1,0
831,0,0,1,1,0
832,0,1,1,1,0
833,1,1,1,1,0
834,1,1,1,1,0
835,0,0,0,0,0
836,0,0,1,0,0
837,0,0,0,1,1
838,1,1,1,1,1
839,1,1,1,0,0
840,1,1,1,1,1
841,0,1,1,1,0
842,1,1,1,1,1
843,0,1,1,1,0
844,1,1,1,1,1
845,1,0,1,1,1
846,0,0,1,0,1
847,1,1,1,1,0
848,0,1,1,1,0
849,1,1,1,1,0
850,1,1,1,1,1
851,1,1,1,1,1
852,1,1,1,1,0
853,0,1,1,1,0
854,1,1,1,1,0
855,1,1,1,1,0
856,1,1,1,0,0
857,1,1,1,1,0
858,1,1,1,1,0
859,0,0,0,1,0
860,1,1,1,1,1
861,1,1,1,1,1
862,1,1,1,1,1
863,1,1,1,1,1
864,0,0,0,0,0
865,1,1,1,1,1
866,1,1,1,1,0
867,0,0,0,0,0
868,1,1,1,1,1
869,0,1,0,1,1
870,1,0,1,1,1
871,0,1,1,0,0
872,1,1,1,1,0
873,0,0,1,0,0
874,0,1,0,1,1
875,1,1,1,1,1
876,1,1,1,1,0
877,0,0,1,1,0
878,1,1,1,1,0
879,1,1,1,1,0
880,1,1,0,1,0
881,1,1,1,1,0
882,0,1,1,1,0
883,1,1,1,1,1
884,1,1,1,1,1
885,1,0,1,1,0
886,0,0,0,1,0
887,1,1,1,1,1
888,0,1,1,1,0
889,1,1,1,1,1
890,1,1,1,1,1
891,1,1,1,1,1
892,0,0,1,1,1
893,0,1,1,1,1
894,1,1,1,1,1
895,1,1,1,1,1
896,1,1,1,1,1
897,1,1,1,1,0
898,1,1,1,1,1
899,0,0,1,1,1
900,0,0,0,1,0
901,0,0,1,1,0
902,1,1,0,1,0
903,1,1,1,1,0
904,0,0,1,1,0
905,1,1,1,1,0
906,0,0,1,0,0
907,0,0,1,1,1
908,1,1,1,1,1
909,0,0,1,1,0
910,1,1,1,1,1
911,1,1,1,1,1
912,1,1,1,1,0
913,0,1,1,1,0
914,1,1,1,1,1
915,1,1,1,1,1
916,1,1,1,1,1
917,1,1,1,1,1
918,0,0,1,1,0
919,1,1,1,1,1
920,1,0,1,1,1
921,0,0,1,1,1
922,1,1,1,0,0
923,0,0,1,1,0
924,1,1,1,1,1
925,1,1,1,1,0
926,1,1,1,1,1
927,0,0,0,0,0
928,1,1,1,1,1
929,1,0,1,1,1
930,0,0,0,1,NA
931,0,0,0,0,NA
932,0,1,0,1,NA
933,0,1,1,1,NA
934,1,1,1,1,NA
935,1,1,0,1,NA
936,1,1,0,1,NA
937,0,0,0,1,NA
938,0,1,1,1,NA
939,0,0,0,0,NA
940,1,1,1,1,NA
941,0,0,0,1,NA
942,1,1,1,1,NA
943,0,1,1,1,NA
944,1,0,1,1,NA
945,1,1,1,1,NA
946,0,0,1,1,NA
947,1,0,0,1,NA
948,1,1,0,0,NA
949,1,0,0,1,NA
950,1,1,1,1,NA
951,1,1,0,1,NA
952,1,1,1,1,NA
953,1,1,1,1,NA
954,1,1,0,0,NA
955,1,0,1,1,NA
956,1,1,1,1,NA
957,0,0,0,1,NA
958,1,1,1,1,NA
959,0,1,1,0,NA
960,0,0,0,1,NA
961,1,1,1,1,NA
962,1,1,1,1,NA
963,0,1,1,1,NA
964,1,0,1,0,NA
965,0,0,1,1,NA
966,1,0,1,1,NA
967,0,0,0,1,NA
968,1,1,1,1,NA
969,1,1,1,1,NA
970,1,1,1,1,NA
971,1,1,1,1,NA
972,1,1,1,1,NA
973,1,1,1,1,NA
974,1,0,0,1,NA
975,1,1,1,1,NA
976,0,0,1,1,NA
977,1,0,1,1,NA
978,1,1,1,1,NA
979,0,1,0,1,NA
980,1,1,1,1,NA
981,0,0,0,1,NA
982,0,1,1,1,NA
983,1,1,1,1,NA
984,0,1,1,1,NA
985,0,1,1,1,NA
986,0,0,0,0,NA
987,0,0,1,0,NA
988,0,1,1,1,NA
989,0,0,0,1,NA
990,0,1,0,1,NA
991,0,0,1,1,NA
992,0,0,0,1,NA
993,1,0,0,1,NA
994,0,0,1,1,NA
995,0,0,1,0,NA
996,0,0,1,1,NA
997,0,0,0,0,NA
998,1,1,0,1,NA
999,1,1,1,1,NA
1000,0,0,1,1,NA
1001,0,0,1,1,NA
1002,1,0,1,1,NA
1003,0,0,1,1,NA
1004,1,0,1,1,NA
1005,0,0,1,0,NA
1006,0,0,1,1,NA
1007,0,0,0,1,NA
1008,1,1,1,1,NA
1009,1,1,1,1,NA
1010,0,1,1,1,NA
1011,1,1,1,1,NA
1012,1,1,1,1,NA
1013,1,0,1,1,NA
1014,1,0,1,1,NA
1015,1,1,1,1,NA
1016,0,0,0,1,NA
1017,0,1,1,0,NA
1018,1,0,1,1,NA
1019,1,0,1,1,NA
1020,1,1,1,1,NA
1021,1,1,1,1,NA
1022,1,0,0,1,NA
1023,0,1,1,1,NA
1024,0,1,1,1,NA
1025,0,1,1,1,NA
1026,0,1,1,1,NA
1027,1,1,1,1,NA
1028,1,0,1,0,NA
1029,0,0,0,0,NA
1030,1,0,1,0,NA
1031,1,0,1,1,NA
1032,1,0,1,1,NA
1033,1,1,1,1,NA
1034,1,0,1,1,NA
1035,0,0,1,0,NA
1036,0,0,1,1,NA
1037,0,0,0,0,NA
1038,1,1,1,1,NA
1039,0,0,0,1,NA
1040,1,1,1,1,NA
1041,0,0,1,0,NA
1042,0,1,0,1,NA
1043,0,0,1,1,NA
1044,1,1,1,1,NA
1045,0,0,0,1,NA
1046,0,0,0,1,NA
1047,0,1,1,1,NA
1048,1,1,1,1,NA
1049,0,0,1,1,NA
1050,1,1,1,1,NA
1051,0,0,0,1,NA
1052,1,1,1,1,NA
1053,1,0,0,1,NA
1054,0,1,1,1,NA
1055,1,1,0,1,NA
1056,1,1,1,1,NA
1057,0,0,1,1,NA
1058,0,1,0,0,NA
1059,0,1,1,1,NA
1060,0,0,1,1,NA
1061,1,0,0,1,NA
1062,1,0,0,1,NA
1063,1,1,1,0,NA
1064,0,1,1,1,NA
1065,0,0,1,1,NA
1066,1,1,1,1,NA
1067,1,0,0,1,NA
1068,1,0,0,0,NA
1069,1,1,1,1,NA
1070,1,1,1,0,NA
1071,1,1,1,0,NA
1072,0,0,1,1,NA
1073,0,0,1,1,NA
1074,1,0,1,1,NA
1075,1,1,1,1,NA
1076,1,1,1,1,NA
1077,1,1,1,1,NA
1078,1,1,0,1,NA
1079,0,0,1,1,NA
1080,0,0,1,1,NA
1081,1,1,1,1,NA
1082,0,0,1,1,NA
1083,0,0,1,1,NA
1084,0,1,1,1,NA
1085,1,1,1,1,NA
1086,0,1,1,0,NA
1087,1,1,1,1,NA
1088,0,1,0,1,NA
1089,0,1,0,1,NA
1090,0,0,1,1,NA
1091,0,0,0,1,NA
1092,1,1,1,1,NA
1093,0,1,1,1,NA
1094,0,1,1,0,NA
1095,1,1,1,1,NA
1096,0,1,1,1,NA
1097,1,0,1,1,NA
1098,1,0,1,1,NA
1099,1,1,1,1,NA
1100,1,1,0,0,NA
1101,1,1,1,1,NA
1102,1,1,1,1,NA
1103,0,0,0,0,NA
1104,1,0,1,1,NA
1105,0,0,1,1,NA
1106,1,1,1,1,NA
1107,0,1,1,1,NA
1108,1,1,1,1,NA
1109,1,1,1,1,NA
1110,1,1,1,1,NA
1111,0,0,1,1,NA
1112,1,1,1,1,NA
1113,1,1,1,1,NA
1114,0,0,0,1,NA
1115,1,1,1,1,NA
1116,1,1,1,1,NA
1117,1,1,1,1,NA
1118,1,1,1,1,NA
1119,1,1,1,1,NA
1120,1,1,1,1,NA
1121,0,1,1,1,NA
1122,1,1,0,1,NA
1123,1,1,1,1,NA
1124,1,1,1,1,NA
1125,0,0,0,1,NA
1126,1,1,1,1,NA
1127,1,1,1,1,NA
1128,1,1,1,0,NA
1129,0,1,1,1,NA
1130,1,0,1,1,NA
1131,1,1,1,1,NA
